complaint_id,text,category,priority,sentiment,resolution_time
1,Need bulk order details,Trade,Medium,Neutral,60
2,Box was broken,Packaging,High,Frustrated,21
3,Product stopped working,Product,High,Angry,70
4,Poor packaging quality,Packaging,Medium,Sad,20
5,Need bulk order details,Trade,Medium,Neutral,52
6,Inquiry about pricing,Trade,Low,Neutral,17
7,Damaged packaging,Packaging,High,Frustrated,44
8,Trade-related query,Trade,Low,Neutral,67
9,Product malfunctioning,Product,High,Angry,71
10,Poor packaging quality,Packaging,Medium,Sad,36
11,Damaged packaging,Packaging,High,Frustrated,25
12,Defective item received,Product,High,Angry,47
13,Trade-related query,Trade,Low,Neutral,47
14,Inquiry about pricing,Trade,Low,Neutral,22
15,Inquiry about pricing,Trade,Low,Neutral,64
16,Inquiry about pricing,Trade,Low,Neutral,59
17,Damaged packaging,Packaging,High,Frustrated,49
18,Product malfunctioning,Product,High,Angry,15
19,Product malfunctioning,Product,High,Angry,49
20,Product malfunctioning,Product,High,Angry,30
21,Product stopped working,Product,High,Angry,14
22,Box was broken,Packaging,High,Frustrated,13
23,Inquiry about pricing,Trade,Low,Neutral,10
24,Box was broken,Packaging,High,Frustrated,51
25,Inquiry about pricing,Trade,Low,Neutral,60
26,Poor packaging quality,Packaging,Medium,Sad,8
27,Damaged packaging,Packaging,High,Frustrated,13
28,Product stopped working,Product,High,Angry,51
29,Need bulk order details,Trade,Medium,Neutral,9
30,Poor packaging quality,Packaging,Medium,Sad,51
31,Poor packaging quality,Packaging,Medium,Sad,44
32,Poor packaging quality,Packaging,Medium,Sad,48
33,Product stopped working,Product,High,Angry,27
34,Poor packaging quality,Packaging,Medium,Sad,70
35,Damaged packaging,Packaging,High,Frustrated,66
36,Product malfunctioning,Product,High,Angry,7
37,Box was broken,Packaging,High,Frustrated,50
38,Trade-related query,Trade,Low,Neutral,47
39,Defective item received,Product,High,Angry,60
40,Box was broken,Packaging,High,Frustrated,9
41,Product stopped working,Product,High,Angry,27
42,Inquiry about pricing,Trade,Low,Neutral,28
43,Defective item received,Product,High,Angry,61
44,Trade-related query,Trade,Low,Neutral,71
45,Damaged packaging,Packaging,High,Frustrated,41
46,Box was broken,Packaging,High,Frustrated,32
47,Trade-related query,Trade,Low,Neutral,35
48,Damaged packaging,Packaging,High,Frustrated,9
49,Box was broken,Packaging,High,Frustrated,8
50,Defective item received,Product,High,Angry,20
51,Inquiry about pricing,Trade,Low,Neutral,30
52,Poor packaging quality,Packaging,Medium,Sad,62
53,Damaged packaging,Packaging,High,Frustrated,9
54,Inquiry about pricing,Trade,Low,Neutral,53
55,Product malfunctioning,Product,High,Angry,57
56,Product malfunctioning,Product,High,Angry,5
57,Inquiry about pricing,Trade,Low,Neutral,27
58,Need bulk order details,Trade,Medium,Neutral,27
59,Inquiry about pricing,Trade,Low,Neutral,9
60,Inquiry about pricing,Trade,Low,Neutral,28
61,Box was broken,Packaging,High,Frustrated,45
62,Damaged packaging,Packaging,High,Frustrated,61
63,Inquiry about pricing,Trade,Low,Neutral,4
64,Poor packaging quality,Packaging,Medium,Sad,72
65,Product malfunctioning,Product,High,Angry,41
66,Poor packaging quality,Packaging,Medium,Sad,9
67,Inquiry about pricing,Trade,Low,Neutral,65
68,Poor packaging quality,Packaging,Medium,Sad,52
69,Product malfunctioning,Product,High,Angry,16
70,Trade-related query,Trade,Low,Neutral,62
71,Product stopped working,Product,High,Angry,60
72,Damaged packaging,Packaging,High,Frustrated,16
73,Product malfunctioning,Product,High,Angry,70
74,Damaged packaging,Packaging,High,Frustrated,3
75,Need bulk order details,Trade,Medium,Neutral,36
76,Product malfunctioning,Product,High,Angry,9
77,Poor packaging quality,Packaging,Medium,Sad,62
78,Product stopped working,Product,High,Angry,13
79,Box was broken,Packaging,High,Frustrated,46
80,Defective item received,Product,High,Angry,18
81,Inquiry about pricing,Trade,Low,Neutral,43
82,Box was broken,Packaging,High,Frustrated,36
83,Box was broken,Packaging,High,Frustrated,54
84,Damaged packaging,Packaging,High,Frustrated,17
85,Trade-related query,Trade,Low,Neutral,53
86,Damaged packaging,Packaging,High,Frustrated,47
87,Poor packaging quality,Packaging,Medium,Sad,12
88,Poor packaging quality,Packaging,Medium,Sad,13
89,Poor packaging quality,Packaging,Medium,Sad,10
90,Need bulk order details,Trade,Medium,Neutral,67
91,Defective item received,Product,High,Angry,45
92,Inquiry about pricing,Trade,Low,Neutral,20
93,Product malfunctioning,Product,High,Angry,54
94,Damaged packaging,Packaging,High,Frustrated,2
95,Product stopped working,Product,High,Angry,36
96,Poor packaging quality,Packaging,Medium,Sad,26
97,Box was broken,Packaging,High,Frustrated,13
98,Need bulk order details,Trade,Medium,Neutral,25
99,Need bulk order details,Trade,Medium,Neutral,15
100,Damaged packaging,Packaging,High,Frustrated,22
101,Damaged packaging,Packaging,High,Frustrated,31
102,Product stopped working,Product,High,Angry,55
103,Trade-related query,Trade,Low,Neutral,34
